date,albedo_i1,albedo_i2,albedo_i3,albedo_broadband,product,source
2017-08-03,0.46557939761502,0.40300310017499524,0.15614141770924725,0.335938637283954,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-04,0.5325474609003046,0.49108486136477736,0.1265019891743128,0.3755158209346161,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-05,0.5009525097842646,0.4644584098388693,0.1376743181587297,0.35774371690618323,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-06,0.5246676952840852,0.483580593455883,0.12701644031197304,0.37120457818191677,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-07,0.5330946531180719,0.4882317963821386,0.12132644009386095,0.37476219586926246,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-08,0.5128040135613486,0.45384559594864265,0.12886652955967345,0.3610466221345998,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-09,0.49875512141081957,0.4472702349690834,0.13267720582368528,0.35552794967413165,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-10,0.4705440342984092,0.42362976380265366,0.1331907797696491,0.3362117256873444,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-11,0.4679889408308745,0.4236356406861321,0.12135471819344588,0.3300676892689019,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-12,0.48564351716706455,0.4457098233308345,0.914180159586568,0.6110831325448901,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-13,0.47156652665427423,0.4345832890509963,0.12864164661626992,0.3355324075047249,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-14,0.4588968937054961,0.4034983604185294,0.12655924017252362,0.32159418208849927,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-15,0.4554152684978664,0.401860117986635,0.11933657722011105,0.31846007490443773,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-16,0.4662238101074434,0.41682534339927,0.12203384698403362,0.32843688079965094,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-17,0.48176664654981105,0.42844978338504386,0.12243551998010771,0.3401911305950193,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-18,0.48270091049967395,0.42047990304906674,0.11657702486629146,0.3323412106287475,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-19,0.4643711748689763,0.41585022318193976,0.1326888355028126,0.32085188455978736,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
